date_key,reading_date,year,month,location_id,locality,timezone,pollutant,unit,reading_count,avg_value,min_value,max_value
20241104,2024-11-04,2024,11,665,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,5.4292,4.0,8.2
20241013,2024-10-13,2024,10,625,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,3.3333,0.0,13.4
20241019,2024-10-19,2024,10,625,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,4.4042,0.8,10.1
20241031,2024-10-31,2024,10,626,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,16.3833,10.0,23.9
20241022,2024-10-22,2024,10,665,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,15.4958,9.6,27.3
20240312,2024-03-12,2024,3,664,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,4.9083,2.2,7.4
20240422,2024-04-22,2024,4,928,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,23,4.3304,1.0,9.3
20240425,2024-04-25,2024,4,496096,RICHMOND,America/New_York,pm25,µg/m³,24,2.7583,0.8,6.3
20240616,2024-06-16,2024,6,1824516,,America/New_York,pm25,µg/m³,20,8.775,3.74,14.5
20241116,2024-11-16,2024,11,2453305,,America/New_York,pm25,µg/m³,2,1755.0,1740.0,1770.0
20241109,2024-11-09,2024,11,2903996,,America/New_York,pm25,µg/m³,24,36.8242,7.1,87.6
20241111,2024-11-11,2024,11,3041962,,America/New_York,pm25,µg/m³,24,5.6488,1.56,14.6
20241117,2024-11-17,2024,11,3145070,,America/New_York,pm25,µg/m³,24,13.5192,5.44,29.5
20241003,2024-10-03,2024,10,3041962,,America/New_York,pm25,µg/m³,24,3.9025,2.73,5.79
20241122,2024-11-22,2024,11,665,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,2.8958,1.1,4.8
20241125,2024-11-25,2024,11,292229,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,5.3125,1.2,12.6
20241117,2024-11-17,2024,11,664,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,12.3583,3.8,30.9
20241111,2024-11-11,2024,11,665,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,6.1458,3.5,12.2
20241013,2024-10-13,2024,10,971,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,6.4625,3.0,11.2
20241005,2024-10-05,2024,10,664,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,7.0708,4.8,11.1
20240305,2024-03-05,2024,3,857,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,23,2.7565,0.1,6.5
20240301,2024-03-01,2024,3,664,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,5.5417,3.6,8.1
20240424,2024-04-24,2024,4,928,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,4.8833,1.1,14.1
20241119,2024-11-19,2024,11,2386747,,America/New_York,pm25,µg/m³,24,4.0871,2.1,7.05
